 INFO  Accepting connections at http://localhost:3000
 HTTP  2026/3/24 22:44:10 ::1 HEAD /dashboard.html
 HTTP  2026/3/24 22:44:10 ::1 Returned 301 in 10 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /dashboard
 HTTP  2026/3/24 22:44:41 ::1 Returned 200 in 8 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /css/dashboard.css?v=5
 HTTP  2026/3/24 22:44:41 ::1 GET /js/dashboard.js?v=20260324_freemium3
 HTTP  2026/3/24 22:44:41 ::1 GET /css/dashboard-structured-fix.css?v=20260310local1
 HTTP  2026/3/24 22:44:41 ::1 GET /css/sign.css?v=premiumv51
 HTTP  2026/3/24 22:44:41 ::1 Returned 200 in 5 ms
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 3 ms
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 5 ms
 HTTP  2026/3/24 22:44:41 ::1 Returned 200 in 7 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /js/auth.js?v=20260311d
 HTTP  2026/3/24 22:44:41 ::1 Returned 200 in 1 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /js/notify.js
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /js/db-service.js?v=20260321f
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /js/ai-service.js?v=20260309h2
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /js/auth.js
 HTTP  2026/3/24 22:44:41 ::1 GET /js/api-base.js?v=20260321f
 HTTP  2026/3/24 22:44:41 ::1 Returned 200 in 2 ms
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 22:44:41 ::1 GET /favicon2.png?v=2
 HTTP  2026/3/24 22:44:41 ::1 Returned 304 in 6 ms
 HTTP  2026/3/24 23:14:15 ::1 GET /dashboard
 HTTP  2026/3/24 23:14:15 ::1 Returned 200 in 3 ms
 HTTP  2026/3/24 23:14:15 ::1 GET /css/dashboard.css?v=5
 HTTP  2026/3/24 23:14:15 ::1 GET /js/dashboard.js?v=20260324_freemium_final
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 GET /css/dashboard-structured-fix.css?v=20260310local1
 HTTP  2026/3/24 23:14:15 ::1 GET /css/sign.css?v=premiumv51
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 Returned 200 in 5 ms
 HTTP  2026/3/24 23:14:15 ::1 GET /js/auth.js?v=20260311d
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 GET /js/notify.js
 HTTP  2026/3/24 23:14:15 ::1 GET /js/db-service.js?v=20260321f
 HTTP  2026/3/24 23:14:15 ::1 GET /js/ai-service.js?v=20260309h2
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 2 ms
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 GET /js/auth.js
 HTTP  2026/3/24 23:14:15 ::1 GET /js/api-base.js?v=20260321f
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:14:15 ::1 Returned 304 in 0 ms
 HTTP  2026/3/24 23:24:28 ::1 GET /dashboard
 HTTP  2026/3/24 23:24:28 ::1 Returned 304 in 2 ms
 HTTP  2026/3/24 23:24:28 ::1 GET /css/sign.css?v=premiumv51
 HTTP  2026/3/24 23:24:28 ::1 GET /js/dashboard.js?v=20260324_freemium_final
 HTTP  2026/3/24 23:24:28 ::1 Returned 304 in 1 ms
 HTTP  2026/3/24 23:24:28 ::1 Returned 304 in 2 ms
 HTTP  2026/3/24 23:24:28 ::1 GET /css/dashboard.css?v=5
 HTTP  2026/3/24 23:24:28 ::1 GET /css/dashboard-structured-fix.css?v=20260310local1
 HTTP  2026/3/24 23:24:28 ::1 Returned 304 in 2 ms
